_id,type,model
ObjectId(64e1ac6c0e2223f74653808c),smart phone,xm23
ObjectId(64e1ac6c0e2223f74653808d),smart phone,bn20
ObjectId(64e1ac6c0e2223f74653808e),smart phone,pk2
ObjectId(64e1ac6c0e2223f74653808f),smart phone,c12
ObjectId(64e1ac6c0e2223f746538090),smart phone,k9
ObjectId(64e1ac6c0e2223f746538091),smart phone,c12
ObjectId(64e1ac6c0e2223f746538092),smart phone,c12
ObjectId(64e1ac6c0e2223f746538093),smart phone,c3
ObjectId(64e1ac6c0e2223f746538094),smart phone,cz
ObjectId(64e1ac6c0e2223f746538095),smart phone,c3
ObjectId(64e1ac6c0e2223f746538096),smart phone,cz
ObjectId(64e1ac6c0e2223f746538097),laptop,qw2
ObjectId(64e1ac6c0e2223f746538098),laptop,c6
ObjectId(64e1ac6c0e2223f746538099),laptop,ay9
ObjectId(64e1ac6c0e2223f74653809a),laptop,qw2
ObjectId(64e1ac6c0e2223f74653809b),laptop,zeta
ObjectId(64e1ac6c0e2223f74653809c),laptop,zeta
ObjectId(64e1ac6c0e2223f74653809d),laptop,k12
ObjectId(64e1ac6c0e2223f74653809e),laptop,jl3
ObjectId(64e1ac6c0e2223f74653809f),laptop,ki2
ObjectId(64e1ac6c0e2223f7465380a0),smart phone,xm23
ObjectId(64e1ac6c0e2223f7465380a1),smart phone,c3
ObjectId(64e1ac6c0e2223f7465380a2),smart phone,platina
ObjectId(64e1ac6c0e2223f7465380a3),smart phone,k9
ObjectId(64e1ac6c0e2223f7465380a4),smart phone,pk2
ObjectId(64e1ac6c0e2223f7465380a5),smart phone,pk2
ObjectId(64e1ac6c0e2223f7465380a6),smart phone,bn20
ObjectId(64e1ac6c0e2223f7465380a7),smart phone,platina
ObjectId(64e1ac6c0e2223f7465380a8),smart phone,platina
ObjectId(64e1ac6c0e2223f7465380a9),smart phone,cz
ObjectId(64e1ac6c0e2223f7465380aa),smart phone,xm23
ObjectId(64e1ac6c0e2223f7465380ab),smart phone,k9
ObjectId(64e1ac6c0e2223f7465380ac),laptop,k12
ObjectId(64e1ac6c0e2223f7465380ad),laptop,qw2
ObjectId(64e1ac6c0e2223f7465380ae),laptop,j3
ObjectId(64e1ac6c0e2223f7465380af),laptop,jl3
ObjectId(64e1ac6c0e2223f7465380b0),laptop,zeta
ObjectId(64e1ac6c0e2223f7465380b1),laptop,ay9
ObjectId(64e1ac6c0e2223f7465380b2),laptop,ki2
ObjectId(64e1ac6c0e2223f7465380b3),laptop,ay9
ObjectId(64e1ac6c0e2223f7465380b4),laptop,ki2
ObjectId(64e1ac6c0e2223f7465380b5),laptop,ki2
ObjectId(64e1ac6c0e2223f7465380b6),laptop,kz
ObjectId(64e1ac6c0e2223f7465380b7),laptop,qw2
ObjectId(64e1ac6c0e2223f7465380b8),laptop,kz
ObjectId(64e1ac6c0e2223f7465380b9),laptop,c6
ObjectId(64e1ac6c0e2223f7465380ba),laptop,ay9
ObjectId(64e1ac6c0e2223f7465380bb),laptop,c6
ObjectId(64e1ac6c0e2223f7465380bc),smart phone,bn20
ObjectId(64e1ac6c0e2223f7465380bd),laptop,jl3
ObjectId(64e1ac6c0e2223f7465380be),laptop,qw2
ObjectId(64e1ac6c0e2223f7465380bf),laptop,j3
ObjectId(64e1ac6c0e2223f7465380c0),laptop,qw2
ObjectId(64e1ac6c0e2223f7465380c1),laptop,k12
ObjectId(64e1ac6c0e2223f7465380c2),laptop,jl3
ObjectId(64e1ac6c0e2223f7465380c3),laptop,ki2
ObjectId(64e1ac6c0e2223f7465380c4),laptop,k12
ObjectId(64e1ac6c0e2223f7465380c5),laptop,c6
ObjectId(64e1ac6c0e2223f7465380c6),laptop,k12
ObjectId(64e1ac6c0e2223f7465380c7),laptop,k12
ObjectId(64e1ac6c0e2223f7465380c8),laptop,qw2
ObjectId(64e1ac6c0e2223f7465380c9),laptop,zeta
ObjectId(64e1ac6c0e2223f7465380ca),laptop,k12
ObjectId(64e1ac6c0e2223f7465380cb),laptop,k12
ObjectId(64e1ac6c0e2223f7465380cc),laptop,qw2
ObjectId(64e1ac6c0e2223f7465380cd),laptop,k12
ObjectId(64e1ac6c0e2223f7465380ce),laptop,jl3
ObjectId(64e1ac6c0e2223f7465380cf),laptop,ay9
ObjectId(64e1ac6c0e2223f7465380d0),laptop,ki2
ObjectId(64e1ac6c0e2223f7465380d1),laptop,jl3
ObjectId(64e1ac6c0e2223f7465380d2),laptop,j3
